Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Paul Dummett,2018-2019,1991,26,Newcastle United,Wales,3850000,5500000,DF,26,1987,0,758,0,1,0,5,1,9,1,0,73,0,0,0,1,0,8,1,32,10,37,11,0,34,0,0,123,61,27
Paul Dummett,2017-2018,1991,26,Newcastle United,Wales,3850000,3850000,DF,20,1603,0,599,0,1,0,1,2,0,0,0,56,0,0,0,0,1,0,0,22,10,23,8,0,28,1,0,92,55,35
Paul Dummett,2015-2016,1991,23,Newcastle United,Wales,3850000,3850000,DF,21,1896,1,673,0,3,0,0,5,5,1,1,56,0,0,0,0,0,0,1,34,12,42,13,0,54,0,0,88,47,31
Per Mertesacker,2015-2016,1984,30,Arsenal,Germany,13500000,9000000,DF,24,2049,0,1246,0,1,1,0,1,8,0,0,58,0,0,0,1,0,2,0,0,10,36,7,0,27,0,0,108,54,16
Phil Bardsley,2015-2016,1985,30,Stoke City,Scotland,1800000,1350000,DF,11,816,0,300,1,1,0,2,1,7,2,0,12,0,0,0,0,1,0,0,14,8,18,12,1,31,0,0,32,12,3
Phil Bardsley,2018-2019,1985,33,Burnley,Scotland,1350000,1350000,DF,19,1672,0,555,0,9,0,0,2,12,1,0,28,0,0,0,0,0,11,0,37,12,31,22,1,32,0,1,66,32,28
Phil Bardsley,2017-2018,1985,32,Burnley,Scotland,1350000,1350000,DF,13,1125,0,418,0,5,0,0,1,2,2,0,32,0,0,0,0,0,0,0,19,6,22,22,0,17,0,0,66,29,27
Phil Bardsley,2016-2017,1985,31,Stoke City,Scotland,1350000,1350000,DF,15,1170,0,397,0,4,1,1,3,11,2,0,10,0,0,0,0,0,0,0,28,6,27,25,0,32,0,0,27,8,16
Phil Jagielka,2016-2017,1982,33,Everton,England,3100000,1800000,DF,27,2249,3,1216,2,4,0,2,2,14,6,0,127,2,0,0,0,0,0,0,1,24,41,13,2,43,0,0,208,90,54
Phil Jagielka,2017-2018,1982,35,Everton,England,1800000,1350000,DF,25,2065,0,966,0,2,0,2,2,2,2,0,89,0,0,0,0,0,0,0,4,20,39,8,0,33,0,0,177,67,42
Phil Jagielka,2015-2016,1982,32,Everton,England,4000000,3100000,DF,21,1851,0,1036,0,0,0,0,2,9,1,1,92,0,0,0,0,0,2,0,3,21,50,9,0,39,3,0,170,58,38
Phil Jones,2015-2016,1992,23,Manchester United,England,13500000,12600000,DF,10,528,0,320,0,0,0,4,2,1,0,0,14,0,0,0,0,0,0,0,3,1,13,4,0,9,0,0,24,20,4
Phil Jones,2017-2018,1992,25,Manchester United,England,12600000,18000000,DF,23,1975,0,1083,0,2,0,0,2,0,0,1,80,0,0,0,0,0,0,0,2,17,41,10,0,25,0,1,129,57,22
Phil Jones,2018-2019,1992,26,Manchester United,England,18000000,18000000,DF,18,1262,0,754,1,1,0,3,3,5,2,0,28,0,0,0,0,0,3,0,1,11,23,8,1,19,0,0,62,46,18
Phil Jones,2016-2017,1992,24,Manchester United,England,12600000,12600000,DF,18,1585,0,791,0,2,0,0,1,3,0,0,88,0,0,0,0,0,0,0,1,16,27,9,1,34,0,0,138,46,21
Philipp Wollscheid,2015-2016,1989,26,Stoke City,Germany,4500000,6750000,DF,31,2685,0,1220,0,2,0,0,0,2,0,0,88,0,0,0,0,0,0,0,0,19,75,17,1,74,0,0,164,71,42
Ragnar Klavan,2016-2017,1985,31,Liverpool,Estonia,3600000,3150000,DF,20,1408,0,938,0,3,0,5,0,4,2,0,48,0,0,0,0,1,0,0,1,9,14,15,0,25,1,0,92,38,33
Ragnar Klavan,2017-2018,1985,32,Liverpool,Estonia,3150000,3150000,DF,19,1449,1,1198,0,0,0,3,0,1,1,0,38,1,0,0,0,1,0,0,1,5,15,7,0,14,0,0,82,39,40
Ramiro Funes Mori,2016-2017,1991,25,Everton,Argentina,10800000,10800000,DF,23,1539,0,794,1,0,0,7,0,12,2,0,70,0,0,0,1,0,1,0,5,8,31,10,0,26,0,0,111,46,27
Ramiro Funes Mori,2015-2016,1991,24,Everton,Argentina,5400000,10800000,DF,28,2191,4,1238,1,4,1,4,0,24,9,0,99,2,0,0,2,0,3,0,6,11,66,8,0,41,0,0,217,76,45
Ritchie de Laet,2015-2016,1988,26,Leicester City,Belgium,2250000,1800000,DF,12,655,1,218,0,1,0,5,3,2,1,0,12,0,0,0,0,0,0,0,15,11,21,6,0,25,0,0,25,13,16
Rob Holding,2018-2019,1995,22,Arsenal,England,6300000,10800000,DF,10,807,0,614,0,1,0,1,1,2,0,0,21,0,0,0,0,0,2,0,1,7,12,6,0,11,0,0,37,21,9
Rob Holding,2017-2018,1995,22,Arsenal,England,6300000,6300000,DF,12,820,0,603,0,3,0,3,1,0,0,0,18,0,0,0,0,1,0,0,0,10,21,9,1,19,0,0,39,28,20
Robert Huth,2015-2016,1984,30,Leicester City,Germany,4500000,5400000,DF,35,3150,3,810,0,8,0,0,0,28,6,0,132,2,0,0,3,0,4,0,0,34,76,35,0,41,0,0,258,116,67
Robert Huth,2016-2017,1984,31,Leicester City,Germany,5400000,4500000,DF,33,2929,2,701,2,9,0,0,3,26,9,1,116,2,0,0,0,0,1,0,0,37,45,45,1,28,0,2,220,94,80
Romain Saïss,2018-2019,1990,28,Wolves,Morocco,5400000,4500000,DF,19,1144,2,737,0,0,0,7,2,11,5,0,30,0,0,0,0,0,6,0,9,12,26,27,0,39,0,0,58,60,28
Rúben Vinagre,2018-2019,1999,19,Wolves,Portugal,1800000,6300000,DF,17,706,0,286,0,0,0,10,3,4,3,0,7,0,0,0,1,1,1,2,52,2,14,12,0,14,0,0,13,9,17
Russell Martin,2015-2016,1986,29,Norwich City,Scotland,2700000,2700000,DF,30,2698,3,1118,0,4,1,0,0,18,6,0,116,0,0,0,0,0,0,0,18,23,37,32,0,41,1,0,201,46,32
Ryan Bennett,2015-2016,1990,25,Norwich City,England,1350000,1800000,DF,22,1838,0,562,0,7,0,2,2,8,3,0,99,0,0,0,1,0,0,0,0,14,36,14,0,20,0,1,172,58,33
Ryan Bennett,2018-2019,1990,28,Wolves,England,1800000,1800000,DF,34,3060,1,1346,0,12,0,0,0,15,4,0,75,1,0,0,1,1,11,0,1,21,43,37,0,58,1,0,124,123,94
Ryan Bertrand,2015-2016,1989,25,Southampton,England,9000000,12600000,DF,32,2880,1,1121,3,6,0,0,0,12,2,0,47,0,1,0,0,1,1,52,146,7,72,30,0,43,0,0,88,37,32
Ryan Bertrand,2016-2017,1989,26,Southampton,England,12600000,18000000,DF,28,2508,2,1307,4,3,0,0,1,19,6,0,30,1,0,0,2,2,0,12,99,10,45,24,0,37,0,0,46,42,44
Ryan Bertrand,2018-2019,1989,28,Southampton,England,18000000,13500000,DF,24,2160,1,774,0,8,0,0,0,16,2,1,17,0,0,0,0,1,14,30,93,5,27,26,0,46,0,0,44,38,44
Ryan Bertrand,2017-2018,1989,28,Southampton,England,18000000,18000000,DF,35,3136,0,1480,4,2,0,0,2,20,3,2,28,0,0,0,1,1,17,33,136,9,44,32,0,48,0,0,60,44,52
Ryan Fredericks,2018-2019,1992,25,West Ham United,England,3600000,4500000,DF,15,1085,1,436,0,5,0,3,2,5,2,0,22,0,0,0,1,0,3,0,20,5,13,9,1,38,1,0,39,20,12
Ryan Sessegnon,2018-2019,2000,18,Fulham,England,31500000,31500000,DF,35,2294,2,687,6,0,0,9,7,28,11,0,11,0,0,0,15,5,17,27,66,2,19,20,0,23,0,0,38,18,40
Ryan Shawcross,2015-2016,1987,27,Stoke City,England,8100000,9900000,DF,20,1697,0,592,0,2,0,0,1,8,0,0,46,0,0,0,3,0,0,0,0,19,39,18,0,43,0,0,94,50,25
Ryan Shawcross,2017-2018,1987,30,Stoke City,England,9900000,9000000,DF,27,2372,1,665,1,2,0,0,1,24,8,1,135,1,0,0,4,0,16,0,0,23,40,26,3,36,1,1,215,154,79
Ryan Shawcross,2016-2017,1987,28,Stoke City,England,9900000,9900000,DF,35,3150,1,996,1,6,0,0,0,20,7,1,135,0,0,0,2,0,0,0,1,32,58,34,0,46,2,2,227,129,73
Scott Dann,2015-2016,1987,28,Crystal Palace,England,2700000,4500000,DF,12,379,0,138,0,0,0,7,3,3,0,0,4,0,0,0,0,0,0,0,3,3,13,5,0,10,0,0,12,15,7
Scott Dann,2018-2019,1987,31,Crystal Palace,England,4500000,3600000,DF,10,661,0,264,1,1,0,3,0,6,1,0,25,0,0,0,0,0,5,0,0,12,5,4,0,6,0,0,44,26,16
Scott Dann,2017-2018,1987,30,Crystal Palace,England,4500000,4500000,DF,17,1435,1,566,0,4,0,1,1,19,5,0,60,0,0,0,2,1,14,0,2,14,23,12,0,10,1,0,97,49,33
Scott Dann,2016-2017,1987,29,Crystal Palace,England,4500000,4500000,DF,23,1744,3,608,1,2,0,4,1,21,10,0,65,2,0,0,0,0,0,0,3,19,32,14,0,17,0,0,102,68,52
Scott Malone,2017-2018,1991,26,Huddersfield Town,England,2750000,3300000,DF,22,1115,0,493,1,3,0,10,6,2,2,0,13,0,0,0,0,0,0,0,46,2,26,19,0,39,2,0,38,14,13
Sead Kolasinac,2017-2018,1993,24,Arsenal,Bosnia And Herzegovina,13500000,16200000,DF,27,2152,2,1268,4,3,0,2,6,21,7,1,27,0,0,0,0,0,14,0,42,3,26,32,0,49,0,0,53,47,32
Sead Kolasinac,2018-2019,1993,25,Arsenal,Bosnia And Herzegovina,16200000,18000000,DF,24,1890,0,971,5,5,0,2,6,9,2,0,15,0,0,0,10,3,7,3,51,3,20,21,0,34,1,0,25,20,28
Seamus Coleman,2016-2017,1988,28,Everton,Ireland,15300000,15300000,DF,26,2317,4,920,3,3,0,0,1,18,8,2,40,2,0,0,4,1,0,0,92,17,29,18,1,53,0,0,68,20,22
Seamus Coleman,2015-2016,1988,26,Everton,Ireland,17100000,15300000,DF,35,3150,5,1116,0,7,0,0,0,29,11,1,102,3,0,0,5,0,0,0,5,45,62,20,1,35,0,0,179,115,75
Seamus Coleman,2018-2019,1988,29,Everton,Ireland,10800000,13500000,DF,29,2560,2,1194,2,0,0,0,2,15,7,0,43,1,0,0,3,0,8,0,81,5,27,22,1,44,0,1,74,46,31
Seamus Coleman,2017-2018,1988,29,Everton,Ireland,15300000,10800000,DF,12,1035,0,357,1,0,0,0,1,2,2,1,16,0,0,0,0,0,0,0,28,12,10,3,0,14,1,0,23,14,11
Sean Morrison,2018-2019,1991,27,Cardiff City,England,4500000,4500000,DF,34,3040,1,737,3,6,0,0,1,34,10,1,104,1,0,0,9,0,24,0,5,30,52,32,0,35,1,0,200,226,116
Sebastián Coates,2015-2016,1990,24,Sunderland,Uruguay,2250000,4500000,DF,27,1596,2,345,0,0,0,8,10,17,7,0,3,0,1,0,9,1,2,0,24,0,9,5,0,13,0,0,4,7,22
Sebastian Larsson,2015-2016,1985,30,Sunderland,Uruguay,31500000,2250000,DF,16,1229,0,379,0,4,0,2,2,6,2,0,46,0,0,0,0,0,0,0,2,9,41,17,0,45,0,1,90,27,20
Sebastian Larsson,2016-2017,1985,31,Sunderland,Sweden,2750000,2750000,DF,21,1471,0,642,1,4,0,4,5,16,3,0,12,0,0,0,0,2,0,43,71,9,13,30,0,37,0,0,32,14,13
Sebastian Prödl,2017-2018,1987,30,Watford,Austria,4400000,4400000,DF,21,1568,0,568,0,5,0,4,2,1,1,0,36,0,0,0,2,0,0,0,1,9,31,21,0,22,0,0,89,45,28
Sebastien Bassong,2015-2016,1986,29,Norwich City,Austria,2700000,2700000,DF,21,1776,2,509,0,5,0,2,0,13,0,0,30,1,0,0,0,0,1,0,1,14,64,23,0,23,0,0,93,29,24
Sébastien Pocognoli,2015-2016,1987,27,West Bromwich Albion,Cameroon,1800000,675000,DF,32,2789,1,882,0,4,0,2,1,20,3,0,166,0,0,0,3,0,1,0,2,19,53,25,1,27,2,0,256,95,41
Serge Aurier,2017-2018,1992,25,Tottenham,Cote D'Ivoire,16500000,22000000,DF,17,1429,2,776,2,1,1,1,1,15,6,0,33,1,0,0,2,1,9,0,68,1,31,21,1,48,0,0,48,48,29
Shane Duffy,2018-2019,1992,26,Brighton and Hove Albion,Ireland,10800000,10800000,DF,35,3088,5,1305,1,4,1,0,0,37,16,1,170,3,0,0,4,0,21,0,2,47,36,22,0,35,0,0,243,187,71
Shane Duffy,2017-2018,1992,25,Brighton and Hove Albion,Ireland,4500000,10800000,DF,37,3294,0,1358,1,8,0,0,2,28,5,1,237,0,0,0,7,0,23,0,3,59,50,33,0,31,1,0,327,198,95
Shkodran Mustafi,2018-2019,1992,26,Arsenal,Germany,22500000,22500000,DF,31,2615,2,1765,0,9,0,0,6,18,9,0,106,2,0,0,4,4,9,0,11,17,58,42,0,62,1,0,161,123,62
Shkodran Mustafi,2016-2017,1992,24,Arsenal,Germany,18000000,27000000,DF,26,2275,2,1564,2,11,0,0,1,24,6,2,85,2,0,0,1,4,1,1,20,4,62,35,0,54,0,0,129,103,61
Shkodran Mustafi,2017-2018,1992,25,Arsenal,Germany,27000000,22500000,DF,27,2274,3,1734,1,6,0,2,2,13,6,0,112,2,0,0,2,5,7,0,12,15,57,26,1,64,2,0,171,122,74
Simon Francis,2017-2018,1985,32,AFC Bournemouth,England,2250000,2250000,DF,32,2707,0,1606,1,8,1,1,2,13,1,0,99,0,0,0,0,1,12,2,78,18,49,24,0,49,2,0,176,142,75
Simon Francis,2015-2016,1985,30,AFC Bournemouth,England,900000,2250000,DF,38,3387,0,2106,4,5,1,0,0,7,1,0,129,0,0,0,2,0,0,11,100,21,88,35,0,105,0,0,206,108,62
Simon Francis,2016-2017,1985,31,AFC Bournemouth,England,2250000,2250000,DF,34,2940,0,1656,1,4,1,0,2,7,0,0,134,0,0,0,0,0,0,18,66,19,53,27,0,62,3,0,219,115,80
Simon Francis,2018-2019,1985,33,AFC Bournemouth,England,2250000,1800000,DF,17,1227,0,654,2,1,0,4,1,3,1,0,40,0,0,0,3,0,2,1,32,7,19,11,0,25,0,0,66,47,40
Sokratis,2018-2019,1988,30,Arsenal,Greece,18000000,18000000,DF,25,2199,1,1387,2,12,0,0,1,11,2,0,43,0,0,0,0,1,9,0,0,17,26,37,0,42,0,0,108,56,45
Sol Bamba,2018-2019,1985,33,Cardiff City,Cote D'Ivoire,900000,900000,DF,28,2475,4,550,1,7,0,0,1,22,7,2,79,0,0,0,3,1,15,0,1,32,81,35,0,74,3,0,175,94,46
Stephan Lichtsteiner,2018-2019,1984,34,Arsenal,Switzerland,1350000,900000,DF,14,940,0,480,0,3,0,4,6,1,0,0,16,0,0,0,2,0,1,0,30,4,9,11,0,15,1,0,23,22,20
Stephen Kingsley,2016-2017,1994,22,Swansea City,Scotland,550000,825000,DF,13,1036,0,434,0,0,0,1,1,4,1,0,7,0,0,0,0,0,0,0,47,4,8,3,0,12,0,0,24,7,12
Stephen Ward,2017-2018,1985,32,Burnley,Ireland,1350000,2700000,DF,28,2462,1,923,1,1,0,0,2,1,1,0,47,0,0,0,3,0,0,0,82,12,42,11,0,39,0,0,102,59,28
Stephen Ward,2016-2017,1985,30,Burnley,Ireland,900000,1350000,DF,37,3232,1,1130,1,5,0,0,3,7,1,0,85,0,0,0,0,0,0,0,111,16,74,35,0,70,0,0,153,64,57
Steve Cook,2017-2018,1991,26,AFC Bournemouth,England,4500000,6300000,DF,34,2766,2,1321,1,5,0,3,2,22,6,1,122,2,0,0,1,0,16,0,6,45,54,22,1,37,3,1,225,137,68
Steve Cook,2015-2016,1991,24,AFC Bournemouth,England,1800000,4500000,DF,36,3195,4,1577,0,5,0,0,1,25,8,0,188,2,0,0,2,0,0,0,1,35,84,16,0,33,0,0,298,123,64
Steve Cook,2018-2019,1991,27,AFC Bournemouth,England,6300000,9000000,DF,31,2787,1,1501,1,3,0,0,1,21,9,0,97,1,0,0,1,0,12,0,11,21,50,18,1,36,0,1,198,126,75
Steven Taylor,2015-2016,1986,29,Newcastle United,England,2700000,1250000,DF,10,810,0,324,0,1,0,1,1,0,0,0,23,0,0,0,0,0,0,0,0,12,17,3,0,3,0,0,37,7,8
Sylvain Distin,2015-2016,1977,37,AFC Bournemouth,France,675000,675000,DF,12,842,0,450,0,0,0,3,0,2,0,0,23,0,0,0,1,0,0,0,0,4,24,3,0,19,0,0,47,33,19
Terence Kongolo,2017-2018,1994,23,Huddersfield Town,Netherlands,9000000,9000000,DF,13,1047,0,311,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0,0,10,6,32,5,0,33,0,0,64,28,13
Terence Kongolo,2018-2019,1994,24,Huddersfield Town,Netherlands,9000000,13500000,DF,32,2721,1,1149,1,4,0,0,6,14,4,0,38,1,0,0,2,1,10,0,28,16,65,20,1,74,1,1,97,54,36
Tim Ream,2018-2019,1987,30,Fulham,United States,3150000,3600000,DF,26,2049,0,1053,0,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0,0,10,24,12,0,23,1,0,77,47,43
Timm Klose,2015-2016,1988,27,Norwich City,Switzerland,2700000,4950000,DF,10,849,1,257,0,3,0,0,2,3,1,0,73,1,0,0,0,0,0,0,0,10,24,6,0,14,0,0,102,40,16
Timothy Fosu-Mensah,2017-2018,1998,19,Crystal Palace,Netherlands,2250000,6300000,DF,21,1594,0,612,0,2,0,4,2,0,0,0,33,0,0,0,0,0,0,0,17,9,31,18,1,42,0,0,66,19,22
Timothy Fosu-Mensah,2018-2019,1998,20,Fulham,Netherlands,6300000,6300000,DF,12,794,0,406,0,3,0,2,4,4,1,0,10,0,0,0,0,1,3,0,15,5,12,7,0,18,1,1,25,7,13
Toby Alderweireld,2015-2016,1989,26,Tottenham,Belgium,13500000,24500000,DF,38,3419,4,2076,2,3,0,0,1,41,14,0,143,3,0,0,1,2,1,0,16,33,66,9,0,45,0,0,285,59,39
Toby Alderweireld,2018-2019,1989,29,Tottenham,Belgium,36000000,36000000,DF,34,2923,0,2358,0,3,0,1,3,19,5,1,79,0,0,0,1,6,14,0,6,22,24,10,1,37,0,1,167,54,47
Toby Alderweireld,2016-2017,1989,27,Tottenham,Belgium,24500000,31500000,DF,30,2604,1,1522,0,1,0,0,3,28,9,1,84,0,0,0,0,1,1,0,6,21,26,9,0,41,1,0,162,42,45
Toby Alderweireld,2017-2018,1989,28,Tottenham,Belgium,31500000,36000000,DF,14,1177,0,915,0,3,0,1,0,10,1,0,31,0,0,0,0,1,9,0,7,5,4,8,0,19,0,0,50,14,29
Tommy Elphick,2015-2016,1987,27,AFC Bournemouth,England,900000,2700000,DF,12,1012,1,457,0,1,0,1,0,4,0,0,30,1,0,0,1,0,0,0,0,1,32,10,0,11,0,0,52,36,18
Tommy Smith,2017-2018,1992,25,Huddersfield Town,England,1800000,2700000,DF,24,1908,0,792,1,7,0,3,6,2,2,0,34,0,0,0,3,1,0,0,64,6,26,20,1,38,1,0,72,18,15
Tommy Smith,2018-2019,1992,26,Huddersfield Town,England,2700000,2700000,DF,15,1142,0,486,0,2,1,2,1,3,0,0,5,0,0,0,0,0,3,0,24,4,18,10,0,26,0,0,26,14,14
Trent Alexander-Arnold,2018-2019,1998,20,Liverpool,England,22500000,72000000,DF,29,2466,1,1697,12,3,0,2,7,29,9,3,22,0,0,1,4,3,20,74,201,3,35,14,0,61,0,0,62,9,23
Trent Alexander-Arnold,2017-2018,1998,19,Liverpool,England,1350000,22500000,DF,19,1575,1,1007,1,3,0,1,4,12,5,0,11,0,0,0,3,3,7,11,102,5,28,12,0,37,0,0,39,5,17
Victor Lindelöf,2018-2019,1994,24,Manchester United,Sweden,27000000,38500000,DF,30,2602,1,1490,1,0,0,1,2,8,1,0,63,0,0,0,0,1,7,0,1,12,24,19,1,40,0,1,118,69,41
Victor Lindelöf,2017-2018,1994,23,Manchester United,Sweden,24200000,27000000,DF,17,1284,0,751,0,1,0,4,0,0,0,0,36,0,0,0,0,0,0,0,1,11,13,10,0,17,1,0,64,22,25
Vincent Kompany,2015-2016,1986,29,Manchester City,Belgium,27000000,27000000,DF,14,1179,2,678,0,5,0,1,1,11,3,0,45,2,0,0,0,0,0,0,0,4,23,15,0,20,0,0,78,35,6
Vincent Kompany,2017-2018,1986,31,Manchester City,Belgium,19800000,9000000,DF,17,1396,1,1429,1,6,0,0,3,9,2,0,39,1,0,0,0,1,7,0,0,8,16,18,1,20,0,0,71,42,12
Vincent Kompany,2018-2019,1986,32,Manchester City,Belgium,9000000,7200000,DF,17,1223,1,1227,0,6,0,4,3,5,1,0,38,0,0,0,1,0,4,0,0,8,16,17,0,16,0,0,55,36,17
Vincent Kompany,2016-2017,1986,30,Manchester City,Belgium,27000000,19800000,DF,11,823,3,557,0,5,0,1,3,9,3,0,28,2,0,0,0,0,0,0,1,3,16,19,0,15,0,0,42,19,9
Virgil van Dijk,2016-2017,1991,25,Southampton,Netherlands,10800000,27000000,DF,21,1854,1,980,0,3,0,0,0,17,5,2,87,1,0,0,0,0,0,0,0,15,54,18,0,39,0,0,142,98,32
Virgil van Dijk,2018-2019,1991,27,Liverpool,Netherlands,45000000,81000000,DF,38,3385,4,3037,2,0,0,0,1,31,8,4,112,3,0,0,1,0,23,0,0,18,40,12,0,38,0,0,199,181,63
Virgil van Dijk,2015-2016,1991,24,Southampton,Netherlands,9000000,10800000,DF,34,3060,3,1388,0,2,0,0,0,30,10,5,160,0,0,0,2,0,2,0,2,22,96,28,1,59,0,0,260,163,58
Virgil van Dijk,2017-2018,1991,26,Liverpool,Netherlands,27000000,45000000,DF,26,2253,0,1770,0,1,0,1,0,27,6,0,96,0,0,0,0,3,21,0,1,15,47,14,0,25,0,0,157,139,51
Wes Morgan,2018-2019,1984,34,Leicester City,Jamaica,2700000,1800000,DF,22,1926,3,892,0,1,2,1,0,14,5,0,67,2,0,0,3,0,9,0,0,10,32,18,0,27,0,0,104,91,43
Wes Morgan,2017-2018,1984,33,Leicester City,Jamaica,2700000,2700000,DF,32,2818,0,913,0,4,0,0,1,13,3,0,79,0,0,0,0,0,10,0,0,27,31,31,0,35,0,0,143,93,58
Wes Morgan,2015-2016,1984,31,Leicester City,Jamaica,1350000,3150000,DF,38,3420,2,818,0,3,0,0,0,21,6,0,123,2,0,0,0,2,5,0,0,40,95,27,0,51,1,0,216,93,64
Wes Morgan,2016-2017,1984,32,Leicester City,Jamaica,3150000,2700000,DF,27,2430,0,653,0,3,0,0,0,14,3,0,84,0,0,0,1,0,2,0,0,25,52,20,0,27,0,0,141,65,45
Wesley Hoedt,2018-2019,1994,24,Southampton,Netherlands,13500000,10800000,DF,13,1170,0,621,0,2,0,0,0,6,1,0,37,0,0,0,0,0,5,0,2,13,23,15,2,28,0,2,76,33,24
Wesley Hoedt,2017-2018,1994,23,Southampton,Netherlands,6750000,13500000,DF,28,2520,0,1323,1,7,0,0,0,15,2,2,82,0,0,0,0,1,13,0,6,17,40,22,1,60,2,0,172,61,53
Wilfred Ndidi,2017-2018,1996,20,Leicester City,Nigeria,12600000,22500000,DF,33,2899,0,1684,3,6,2,0,1,41,6,2,47,0,0,0,0,7,35,0,9,10,50,60,0,138,0,0,95,117,75
Wilfred Ndidi,2018-2019,1996,21,Leicester City,Nigeria,22500000,31500000,DF,38,3298,2,1984,0,8,0,1,4,55,9,2,41,0,0,0,2,6,46,0,12,9,83,46,0,143,0,0,80,131,106
Wilfred Ndidi,2016-2017,1996,19,Leicester City,Nigeria,5400000,12600000,DF,17,1522,2,689,1,0,0,0,1,31,6,0,29,0,0,0,1,0,1,0,3,5,36,27,0,68,0,0,55,59,77
Willy Boly,2018-2019,1991,27,Wolves,France,9000000,10800000,DF,36,3168,4,1715,0,2,1,0,1,24,6,0,108,3,0,0,3,2,18,0,0,32,72,29,1,85,0,0,172,136,64
Winston Reid,2015-2016,1988,27,West Ham United,New Zealand,8100000,9000000,DF,24,2136,1,833,1,5,0,0,1,17,0,2,85,0,0,0,0,0,1,0,2,27,76,23,0,45,0,0,154,50,28
Winston Reid,2017-2018,1988,29,West Ham United,New Zealand,9000000,6300000,DF,17,1454,0,659,0,5,0,0,2,0,0,0,57,0,0,0,0,0,0,0,1,14,22,14,0,11,0,0,101,44,25
Winston Reid,2016-2017,1988,28,West Ham United,New Zealand,9000000,9000000,DF,30,2589,2,983,2,8,0,0,3,11,2,0,144,1,0,0,1,0,0,0,3,23,82,31,0,32,0,0,244,55,38
Yan Valery,2018-2019,1999,19,Southampton,France,1100000,2250000,DF,23,1714,2,399,0,3,1,3,5,6,5,0,19,0,0,0,2,0,1,0,55,3,22,27,0,42,0,0,57,42,54
Yerry Mina,2018-2019,1994,23,Everton,Colombia,8100000,22500000,DF,13,892,1,504,0,3,0,3,1,4,1,0,29,1,0,0,1,0,3,0,0,5,8,13,0,14,1,0,50,38,27
Yohan Benalouane,2016-2017,1987,29,Leicester City,Tunisia,2200000,1100000,DF,11,920,0,188,0,4,0,0,4,4,1,0,33,0,0,0,0,0,0,0,0,5,26,15,0,17,0,0,56,18,23
Younes Kaboul,2015-2016,1986,29,Sunderland,France,4000000,2200000,DF,22,2009,0,654,1,3,1,1,1,12,4,0,110,0,0,0,1,2,0,0,13,20,52,15,0,43,1,0,196,78,55
Zanka,2017-2018,1990,27,Huddersfield Town,Denmark,2750000,5500000,DF,38,3420,0,1561,2,6,0,0,0,13,3,0,121,0,0,0,2,2,10,0,0,20,76,45,0,55,1,0,241,88,82
