Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Kyle Naughton,2016-2017,1988,27,Swansea City,England,4500000,4500000,DF,31,2718,0,1392,0,5,0,0,4,20,5,0,54,0,0,0,0,0,0,0,79,15,41,25,0,76,0,0,115,65,38
Kyle Naughton,2015-2016,1988,26,Swansea City,England,4950000,4500000,DF,27,1763,0,1081,3,2,0,8,1,8,2,0,27,0,0,0,0,0,0,1,64,0,48,23,0,40,0,0,65,31,28
Kyle Naughton,2017-2018,1988,29,Swansea City,England,4500000,4500000,DF,34,3033,0,1638,2,1,0,0,3,12,1,0,47,0,0,0,0,0,11,0,62,13,60,31,1,92,0,1,102,69,68
Kyle Walker,2016-2017,1990,26,Tottenham,England,13500000,27000000,DF,33,2704,0,1464,5,8,0,2,5,19,5,0,46,0,0,0,3,1,0,1,96,7,38,36,0,72,0,0,94,60,28
Kyle Walker,2017-2018,1990,27,Manchester City,England,27000000,45000000,DF,32,2787,0,2362,6,2,1,0,2,13,1,0,40,0,0,0,2,0,12,0,56,2,29,17,0,47,0,1,67,70,33
Kyle Walker,2015-2016,1990,25,Tottenham,England,11700000,13500000,DF,33,2943,1,1250,3,7,0,0,2,21,7,0,62,0,0,0,3,0,0,0,78,5,92,29,0,87,1,0,106,52,25
Kyle Walker,2018-2019,1990,28,Manchester City,England,45000000,45000000,DF,33,2777,0,2389,0,3,0,3,1,21,4,0,25,0,0,0,4,4,17,0,59,5,36,15,0,40,0,0,50,45,25
Lamine Koné,2016-2017,1989,27,Sunderland,Cote D'Ivoire,5400000,6300000,DF,30,2545,1,787,0,4,0,1,1,17,4,0,112,0,0,0,2,1,0,0,3,22,44,14,0,30,0,0,199,77,44
Lamine Koné,2015-2016,1989,26,Sunderland,Cote D'Ivoire,2250000,5400000,DF,15,1315,2,402,1,0,0,0,1,10,4,0,78,0,0,0,1,0,2,0,2,10,33,5,0,28,0,0,138,49,32
Laurent Koscielny,2015-2016,1985,29,Arsenal,France,18000000,19800000,DF,33,2846,4,1691,0,3,0,0,2,19,8,0,110,1,0,0,1,2,0,0,3,27,126,31,0,47,0,0,186,104,57
Laurent Koscielny,2016-2017,1985,30,Arsenal,France,19800000,19800000,DF,33,2823,2,1667,0,4,0,0,2,9,4,0,126,0,0,0,2,0,0,0,3,22,90,19,1,48,0,0,202,116,78
Laurent Koscielny,2017-2018,1985,32,Arsenal,France,19800000,13500000,DF,25,2227,2,1745,0,4,0,0,2,9,2,1,79,1,0,0,2,2,7,0,5,15,54,14,0,43,1,0,134,80,61
Laurent Koscielny,2018-2019,1985,32,Arsenal,France,13500000,7200000,DF,17,1330,3,891,0,1,0,4,1,5,4,0,45,1,0,0,0,0,1,0,0,15,30,9,0,19,0,0,70,25,28
Leighton Baines,2016-2017,1984,31,Everton,England,11200000,10800000,DF,32,2821,2,1309,3,4,0,0,3,15,5,1,40,0,2,0,0,1,1,25,112,6,45,35,2,63,0,0,65,27,34
Leighton Baines,2017-2018,1984,32,Everton,England,10800000,7200000,DF,22,1910,2,754,3,1,0,0,2,4,4,0,15,0,2,0,1,0,0,21,75,6,25,7,0,25,0,0,47,14,20
Leighton Baines,2015-2016,1984,30,Everton,England,16200000,11200000,DF,18,1477,2,756,1,0,0,2,0,9,3,1,21,0,1,0,4,0,0,42,103,6,29,6,0,34,0,0,42,9,17
Lewis Dunk,2018-2019,1991,26,Brighton and Hove Albion,England,9000000,10800000,DF,36,3153,2,1490,1,5,1,0,1,20,4,0,118,2,0,0,0,2,16,0,2,38,46,22,2,42,2,0,193,120,63
Lewis Dunk,2017-2018,1991,26,Brighton and Hove Albion,England,4500000,9000000,DF,38,3420,1,1496,1,7,0,0,0,27,9,0,128,0,0,0,0,3,18,0,7,58,71,36,1,67,0,4,223,122,73
Lucas Digne,2018-2019,1993,25,Everton,France,13500000,27000000,DF,35,2966,4,1457,4,5,1,2,2,34,10,3,51,0,0,2,2,0,24,89,280,9,60,39,1,72,0,1,94,90,45
Luke Shaw,2016-2017,1995,21,Manchester United,England,18900000,18000000,DF,11,692,0,382,1,1,0,2,5,6,1,0,13,0,0,0,0,0,0,3,21,1,13,7,0,12,0,0,27,11,6
Luke Shaw,2018-2019,1995,23,Manchester United,England,13500000,27000000,DF,29,2592,0,1658,4,11,0,0,1,21,7,0,39,0,0,0,1,2,14,15,52,12,21,42,0,55,0,0,80,49,28
Luke Shaw,2017-2018,1995,22,Manchester United,England,18000000,13500000,DF,11,788,0,477,0,2,0,3,1,12,5,1,11,0,0,0,0,0,7,7,30,2,4,4,0,18,0,0,19,17,19
Mamadou Sakho,2015-2016,1990,25,Liverpool,France,16200000,16200000,DF,22,1855,1,1243,0,1,0,1,2,6,1,0,90,0,0,0,0,0,1,0,0,22,37,9,0,30,0,0,137,75,45
Mamadou Sakho,2018-2019,1990,28,Crystal Palace,France,13500000,13500000,DF,27,2417,0,1321,0,2,0,0,1,4,0,0,82,0,0,0,0,0,4,0,0,16,41,5,0,25,0,0,132,51,37
Mamadou Sakho,2017-2018,1990,27,Crystal Palace,France,13500000,13500000,DF,19,1600,1,739,2,1,0,1,1,1,1,1,61,0,0,0,0,1,0,0,0,11,30,3,1,21,1,0,99,41,35
Marc Muniesa,2016-2017,1992,24,Stoke City,Spain,3500000,3000000,DF,10,648,0,308,0,2,0,3,0,6,3,1,17,0,0,0,0,0,0,0,8,5,23,9,0,21,0,0,31,11,9
Marc Muniesa,2015-2016,1992,23,Stoke City,Spain,3000000,3500000,DF,15,1111,0,530,0,2,0,3,1,3,0,0,23,0,0,0,0,1,0,0,11,11,35,10,2,28,0,0,44,11,15
Marcos Alonso,2016-2017,1990,25,Chelsea,Spain,9000000,25000000,DF,31,2694,6,1250,3,2,0,1,2,46,16,4,40,1,0,1,3,2,2,0,102,5,44,25,0,56,0,0,76,73,41
Marcos Alonso,2018-2019,1990,27,Chelsea,Spain,40000000,40000000,DF,31,2761,2,1881,4,6,0,0,2,45,7,6,46,0,0,0,2,2,38,0,98,2,39,28,0,74,0,0,86,66,54
Marcos Alonso,2017-2018,1990,27,Chelsea,Spain,25000000,40000000,DF,33,2860,7,1347,2,6,0,0,5,65,23,0,28,2,0,2,8,0,42,0,96,5,47,26,0,51,1,0,60,61,54
Marcos Rojo,2016-2017,1990,26,Manchester United,Argentina,17100000,16200000,DF,21,1660,1,951,0,5,0,3,1,14,4,0,83,0,0,0,0,0,0,0,10,6,33,24,0,29,0,0,143,46,28
Marcos Rojo,2015-2016,1990,25,Manchester United,Argentina,16200000,17100000,DF,16,1253,0,700,1,3,0,1,6,8,1,0,18,0,0,0,0,0,0,0,53,5,28,20,0,43,0,0,32,30,24
Markus Suttner,2017-2018,1987,30,Brighton and Hove Albion,Austria,2200000,2750000,DF,14,1178,0,438,0,0,0,1,0,0,0,0,20,0,0,0,0,1,0,4,45,2,12,5,0,25,0,0,37,14,13
Martin Kelly,2017-2018,1990,27,Crystal Palace,England,3300000,3300000,DF,15,1194,0,343,0,1,0,3,2,2,2,0,34,0,0,0,0,0,0,0,6,11,9,8,1,19,1,1,63,27,36
Martín Montoya,2018-2019,1991,27,Brighton and Hove Albion,Spain,9000000,7200000,DF,25,2166,0,858,1,0,0,1,0,8,1,1,24,0,0,0,0,1,7,0,36,10,48,29,0,58,0,0,63,24,27
Martin Olsson,2017-2018,1988,29,Swansea City,Sweden,5500000,5500000,DF,36,3154,0,1144,1,7,0,0,5,18,1,0,27,0,0,0,2,0,17,0,163,4,31,27,0,34,0,0,67,47,34
Martin Olsson,2015-2016,1988,27,Norwich City,Sweden,4400000,3850000,DF,20,1773,1,479,2,2,0,4,2,7,6,0,41,0,0,0,0,0,0,1,72,5,25,18,0,26,1,0,66,27,21
Martin Olsson,2016-2017,1988,28,Swansea City,Sweden,3850000,5500000,DF,15,1253,2,496,0,2,0,1,2,9,4,0,30,0,0,0,0,0,0,0,59,4,10,12,0,10,0,0,49,21,21
Martin Skrtel,2015-2016,1984,31,Liverpool,Slovakia,11700000,9000000,DF,22,1886,1,1173,0,5,0,1,1,10,3,0,71,0,0,0,0,0,0,0,0,20,41,21,0,23,0,0,147,58,29
Marvin Zeegelaar,2017-2018,1990,27,Watford,Netherlands,3300000,2750000,DF,12,995,0,422,1,4,1,0,1,0,0,0,13,0,0,0,0,1,0,1,38,1,20,17,0,23,0,0,25,13,8
Mason Holgate,2016-2017,1996,19,Everton,England,900000,4500000,DF,18,1371,0,643,1,2,0,2,3,6,3,0,44,0,0,0,0,0,0,0,48,5,21,12,0,41,0,0,67,33,26
Mason Holgate,2017-2018,1996,21,Everton,England,4500000,6300000,DF,15,1183,0,475,0,3,0,2,0,2,2,1,44,0,0,0,0,0,0,0,12,9,23,12,0,23,1,0,82,0,41
Matt Doherty,2018-2019,1992,26,Wolves,Ireland,2250000,13500000,DF,38,3147,4,1399,5,5,0,3,6,46,18,1,63,2,0,0,3,3,28,0,62,7,60,30,0,67,0,1,84,145,103
Matt Targett,2015-2016,1995,19,Southampton,England,1800000,2700000,DF,14,1069,0,404,0,1,0,1,5,3,2,0,16,0,0,0,0,1,0,0,44,0,26,4,0,20,0,0,33,16,13
Matt Targett,2018-2019,1995,22,Southampton,England,6300000,6300000,DF,16,1187,0,443,3,2,0,3,2,11,3,0,10,0,0,0,1,2,8,20,77,3,27,6,0,27,0,0,31,17,22
Matteo Darmian,2016-2017,1989,26,Manchester United,Italy,13500000,10800000,DF,18,1333,0,595,0,3,0,3,3,2,0,0,26,0,0,0,1,0,0,1,19,2,39,19,0,42,0,0,71,25,14
Matteo Darmian,2015-2016,1989,25,Manchester United,Italy,10800000,13500000,DF,28,1930,1,934,0,8,0,4,11,6,1,0,17,0,0,0,4,0,0,0,53,2,42,27,0,84,0,0,53,20,13
Matthew Lowton,2018-2019,1989,29,Burnley,England,4500000,4500000,DF,21,1748,0,638,0,7,0,2,0,4,1,0,34,0,0,0,0,3,3,0,58,7,29,22,0,56,1,0,71,26,13
