Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Wahbi Khazri,2015-2016,1991,24,Sunderland,Tunisia,7700000,8100000,FW,14,1077,2,327,1,24,0,27,0.263157895
Wayne Rooney,2015-2016,1985,29,Manchester United,England,40000000,31500000,FW,28,2410,8,1144,6,72,25,29,0.304878049
Salomón Rondón,2016-2017,1989,26,West Bromwich Albion,Venezuela,18700000,13500000,FW,37,2604,11,964,6,86,34,54,0.381578947
Salomón Rondón,2017-2018,1989,28,West Bromwich Albion,Venezuela,13500000,11700000,FW,37,2604,11,964,6,86,34,54,0.381578947
Salomón Rondón,2018-2019,1989,28,Newcastle United,Venezuela,11700000,13500000,FW,37,2604,11,964,6,86,34,54,0.381578947
Samir Nasri,2015-2016,1987,28,Manchester City,Venezuela,23100000,13500000,FW,34,2564,9,630,2,71,21,9,0.358267717
Son Heung-Min,2018-2019,1992,26,Tottenham,South Korea,45000000,72000000,FW,28,1105,4,447,1,38,13,27,0.32
Fernando Llorente,2017-2018,1985,32,Tottenham,Spain,6600000,6300000,FW,33,2453,15,900,1,52,26,18,0.555160142
Fernando Llorente,2018-2019,1985,33,Tottenham,Spain,6300000,3150000,FW,33,2453,15,900,1,52,26,18,0.555160142
Sam Vokes,2016-2017,1989,26,Burnley,Wales,3850000,4400000,FW,37,2055,10,602,3,57,23,7,0.503562945
Wayne Rooney,2016-2017,1985,30,Manchester United,England,31500000,13500000,FW,28,2410,8,1144,6,72,25,29,0.304878049
Wayne Rooney,2017-2018,1985,32,Everton,England,13500000,9000000,FW,28,2410,8,1144,6,72,25,29,0.304878049
