Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Shane Long,2017-2018,1987,30,Southampton,Ireland,8100000,6300000,FW,28,2111,10,595,4,63,22,15,0.479532164
Shane Long,2018-2019,1987,31,Southampton,Ireland,6300000,6300000,FW,28,2111,10,595,4,63,22,15,0.479532164
Tomer Hemed,2017-2018,1987,30,Brighton and Hove Albion,Israel,2250000,2250000,FW,16,848,2,234,2,17,7,7,0.432258065
José Izquierdo,2017-2018,1992,25,Brighton and Hove Albion,Colombia,9000000,12600000,FW,32,1987,5,523,3,52,16,23,0.326086957
José Izquierdo,2018-2019,1992,26,Brighton and Hove Albion,Colombia,12600000,9000000,FW,32,1987,5,523,3,52,16,23,0.326086957
Joselu,2015-2016,1990,25,Stoke City,Spain,5400000,5400000,FW,22,1090,4,379,1,29,16,14,0.59375
Joselu,2017-2018,1990,27,Newcastle United,Spain,5400000,3150000,FW,22,1090,4,379,1,29,16,14,0.59375
Joselu,2018-2019,1990,28,Newcastle United,Spain,3150000,3600000,FW,22,1090,4,379,1,29,16,14,0.59375
Marcus Rashford,2016-2017,1997,18,Manchester United,England,5400000,16200000,FW,11,861,5,199,2,16,8,7,0.142857143
Graziano Pellè,2015-2016,1985,30,Southampton,Italy,12900000,12900000,FW,30,2173,11,872,6,81,25,13,0.568421053
Juninho Bacuna,2018-2019,1997,20,Huddersfield Town,Curacao,1650000,3150000,FW,21,1415,1,715,0,19,8,46,0.435897436
Joshua King,2017-2018,1992,25,AFC Bournemouth,Norway,7200000,9000000,FW,21,1924,6,444,2,54,20,29,0.37037037
Joshua King,2018-2019,1992,26,AFC Bournemouth,Norway,9000000,18000000,FW,21,1924,6,444,2,54,20,29,0.37037037
Marcus Rashford,2017-2018,1997,20,Manchester United,England,16200000,58500000,FW,11,861,5,199,2,16,8,7,0.142857143
Max-Alain Gradel,2015-2016,1987,28,AFC Bournemouth,Cote D'Ivoire,5850000,8100000,FW,14,899,1,286,0,18,6,23,0.416666667
Jürgen Locadia,2018-2019,1993,24,Brighton and Hove Albion,Netherlands,13600000,10800000,FW,6,223,1,51,1,1,1,1,0.083333333
Marcus Rashford,2018-2019,1997,20,Manchester United,England,58500000,72000000,FW,11,861,5,199,2,16,8,7,0.142857143
